Channel ID,Channel Title,Category,Country,Year,Sum of Subscribers,Sum of Total Videos,Sum of View Count,Channel Age,Subscribers per view,Subscribers per year,Viewers per year,Is_SubscriberOutlier,Is_TotalVideosOutlier,Is_ViewCountOutlier,Sum of Log_Subscribers,Sum of Log_TotalVideos,Sum of Log_ViewCount
UC_0ATiOvBECZSvH67-6IBYA,Curionautes des sciences,Science & Technology,France,2018,45500,73,5212072,7,0.008729734,6500,744581.7143,No,No,No,4.658020941485892,1.8692317197309762,6.717010489787124
UC_74wpLj66F0XvtS6b463_w,Nonprofit Ally,Nonprofits & Activism,United States,2013,27400,170,2117410,12,0.012940337,1141.666667,88225.41667,No,No,No,8.273504532653327,3.8689969024871353,12.049550748723744
UC_aw0LDvBDqJegTjRVhvxsA,DST • Entertainment,Entertainment,Viet Nam,2017,643000,629,140353506,8,0.004581289,80375,17544188.25,No,No,No,5.808211648342798,2.7993405494535817,8.147223268781783
UC_C73SiYaqlbqJE9vYaEDsQ,Make Science Fun,Science & Technology,Australia,2014,58300,432,25315169,11,0.002302967,5300,2301379,No,No,No,4.7656760040001345,2.6364878963533656,7.40338084816821
UC_CayP_iOrP3pidm4HcduEw,Nonprofit Fundraising and Donor Relationships!,Nonprofits & Activism,United States,2009,12,27,568,16,0.021126761,0.75,35.5,No,No,No,1.1139433523068367,1.4471580313422192,2.7551122663950713
UC_CmMzivjtuPjxLrxGSxEkQ,The People MBA,People & Blogs,United States,2019,219,47,6428,6,0.034069695,36.5,1071.333333,No,No,No,2.342422680822206,1.6812412373755872,3.8081434257614912
UC_f7C43GUWhif5_yPsamdfA,Crimson Education,Education,United States,2013,229000,1549,30026677,12,0.007626552,19083.33333,2502223.083,No,No,No,5.3598373788182005,3.1903316981702914,7.477507286708675
UC_I_L6pPCwxTgAH7yutyxqA,Rational Science,Science & Technology,United States,2018,2800,1694,427736,7,0.006546094,200,30552.57143,No,No,No,6.292876270571549,5.8567917045134275,10.660295677561734
UC_lUPoOxqSMupXRuvP84pLA,FairTV Education,Education,United States,2013,506,334,54109,12,0.009351494,42.16666667,4509.083333,No,No,No,2.705007959333336,2.525044807036845,4.733277533932582
UC_pwIXKXNm5KGhdEVzmY60A,Stone Music Entertainment,Entertainment,"Korea, Republic of",2011,11000000,12721,10498819121,14,0.001047737,785714.2857,749915651.5,Yes,Yes,Yes,7.04139272463954,4.104555391240513,10.021140453580411
UC_QEE7TKIUxk3plRZgWveXA,HowTo,Howto & Style,United States,2018,4,8,4457,7,0.000897465,0.571428571,636.7142857,No,No,No,0.6989700043360189,0.9542425094393249,3.649140064144219
UC_rVZCm-6E4y5qw5rtq9TbQ,Gaming Follow,Gaming,Thailand,2013,1290000,628,242851839,12,0.005311881,107500,20237653.25,No,No,No,6.110590046961508,2.798650645445269,8.385341398312738
UC_uxnsv-L5yRz-FRde7jigg,Po Troll Entertainment,Entertainment,Thailand,2018,1970000,391,482913718,7,0.004079404,281428.5714,68987674,No,No,No,6.294466446615589,2.593286067020457,8.683869543361343
UC_vt34wimdCzdkrzVejwX9g,Geo News,News & Politics,Pakistan,2007,18100000,285504,9700427086,18,0.001865897,1005555.556,538912615.9,Yes,Yes,Yes,7.257678598863354,5.455613718373093,9.986790855652242
UC_xYMXx_-mAzheKyEtwtCAQ,Scientific American,Science & Technology,United States,2008,346000,661,49626864,17,0.00697203,20352.94118,2919227.294,No,No,No,5.539077353977326,2.8208579894397,7.695716841060627
UC08IZDh4NSFHl8KYpYNdoVg,Auto Super,Autos & Vehicles,Brazil,2015,1630000,5417,455128705,10,0.003581405,163000,45512870.5,No,Yes,No,6.212187870842208,3.7338390006971496,8.658134228308487
UC0frL1QurZaeycDKcmoeL7g,Top Snow Travel,Travel & Events,Australia,2013,72800,100,5110354,12,0.014245588,6066.666667,425862.8333,No,No,No,4.862137344855608,2.0043213737826426,6.70845107022981
UC0jPwNs4B7yJySNewHan5hQ,Optus Sport,Sports,Australia,2016,903000,8786,344492187,9,0.00262125,100333.3333,38276909.67,No,Yes,No,5.95568823125951,3.9438406264012613,8.537179377921554
UC0k4kxbay0EkZvkUOp0x2qA,The Nonprofit Show,Nonprofits & Activism,United States,2018,2900,713,110340,7,0.0262824,414.2857143,15762.85714,No,No,No,3.4625477288026643,2.8536982117761744,5.042736915569827
UC0KXyff9iw121ji9kTxAh2w,How to Hand Letter,Howto & Style,United States,2016,305000,336,24069469,9,0.012671655,33888.88889,2674385.444,No,No,No,5.484301263260786,2.5276299008713385,7.381466527391375
UC0PKLLmL8pIJLjOI1gBH_pA,Shemaroo Comedy,Comedy,India,2007,21500000,6079,7385390956,18,0.002911153,1194444.444,410299497.6,Yes,Yes,Yes,7.332438480115348,3.783903579272735,9.868373490301133
UC0sclHgmEndKgO1N4OAW5CQ,Value Cars Australia,Autos & Vehicles,Australia,2013,13300,244,2736065,12,0.004860996,1108.333333,228005.4167,No,No,No,4.123884293460008,2.3891660843645326,6.437126569323696
UC0YbFiLN8fcvtWC5Jtt1Vzw,Funny Pet's Life,Pets & Animals,United States,2014,664000,406,104161300,11,0.006374728,60363.63636,9469209.091,No,No,No,5.82216873342548,2.60959440922522,8.01770639570177
UC12bW2PEn1Ot-arl_ZaPrFQ,Illuminated Films,Film & Animation,United Kingdom,2014,665000,220,398531617,11,0.001668625,60454.54545,36230147,No,No,No,5.822822298377022,2.3443922736851106,8.600462782390126
UC16niRr50-MSBwiO3YDb3RA,BBC News,News & Politics,United Kingdom,2006,17800000,25246,6031154503,19,0.002951342,936842.1053,317429184.4,Yes,Yes,Yes,7.250420026707459,4.402209780044745,9.780400454217123
UC176GAQozKKjhz62H8u9vQQ,Real Science,Science & Technology,United States,2019,1900000,158,229370965,6,0.008283524,316666.6667,38228494.17,No,No,No,6.278753829528812,2.2013971243204513,8.360538443626265
UC1D36wr10qyCfisHulZ5G8Q,ABS-CBN Star Cinema,Film & Animation,Philippines,2008,11000000,19584,2402732336,17,0.004578121,647058.8235,141337196.2,Yes,Yes,Yes,7.04139272463954,4.291923575883884,9.380705393343035
UC1GgdDBEA58-MTIprN9XCXA,Happy Go Travel,Travel & Events,Australia,2016,8710,176,2214906,9,0.003932447,967.7777778,246100.6667,No,No,No,3.9400680137393524,2.247973266361807,6.3453554956901295
UC1GJOmIrsa-OmUt2yYHfAKQ,Boxoffice | FAMILLE | Films Complets,Film & Animation,France,2018,1100000,253,264157289,7,0.004164186,157142.8571,37736755.57,No,No,No,6.041393079971211,2.404833716619938,8.421862600497446
UC1NnWW3iy5m9Q4QLberLYtA,Vertical Entertainment CZ - Milujeme filmy,Entertainment,Czechia,2011,36400,918,66200659,14,0.000549843,2600,4728618.5,No,No,No,4.561113314652254,2.9633155113861114,7.820862319242257
UC1pUAhxQLQ3qKE_kcgj84DA,Beach Travel Wine Podcast,Travel & Events,Australia,2017,251,245,154709,8,0.001622401,31.375,19338.625,No,No,No,2.401400540781544,2.3909351071033793,5.189518386126378
UC1R3yteq3HoSUIHQ7hp65XQ,Nessaj Gaming,Gaming,Hungary,2018,407000,3334,181084016,7,0.002247576,58142.85714,25869145.14,No,No,No,5.609595476286518,3.523095838252568,8.257880119916344
UC1RqLrVH-Y9KEeFfXdqjXVg,Car Design Workshop,Autos & Vehicles,Australia,2011,9120,34,134092,14,0.068013006,325.7142857,4789,No,No,No,7.318120144481877,2.510545010206612,9.652758700464904
UC1Up4TuDvGZraQUj9vxUaxQ,Harvard Graduate School of Education,Education,United States,2009,64300,1238,6128619,16,0.01049176,4018.75,383038.6875,No,No,No,4.808217727062711,3.0930713063760633,6.787362694117757
UC1XN82lXrzJSkhtBWWpyEGA,Georgia Department of Education,Education,United States,2009,5440,217,341987,16,0.015907037,340,21374.1875,No,No,No,3.7356787259059048,2.3384564936046046,5.5340108673859145
UC21-duKWicKCRBBL22Cvlbw,Just For Pets,Pets & Animals,Australia,2013,27,24,2713,12,0.009952083,2.25,226.0833333,No,No,No,1.4471580313422192,1.3979400086720377,3.433609843323718
UC22Sr8bNYjAKqxLr-snMGnA,SG Sports TV,Sports,Singapore,2010,574000,4903,297212927,15,0.001931275,38266.66667,19814195.13,No,No,No,5.75891264900791,3.690550461510359,8.47306769619537
UC2ArKq3GKdiA6ufRwE2NytQ,ND Gaming,Gaming,Viet Nam,2013,1150000,3629,682976277,12,0.001683807,95833.33333,56914689.75,No,No,No,6.060698218000823,3.5599066250361124,8.834405619475655
UC2i64jLboyVFZwwO6UCKZ6g,Classic Gaming Quarterly,Gaming,United States,2013,148000,82,18179087,12,0.008141223,12333.33333,1514923.917,No,No,No,5.170264649807219,1.919078092376074,7.259572091949622
UC2PYniNHljOED9xNaMpiMiQ,ARY Films,Film & Animation,Pakistan,2016,1290000,295,296448956,9,0.004351508,143333.3333,32938772.89,No,No,No,6.110590046961508,2.4712917110589387,8.47194992670007
UC2rkgW49nwJyQp3JHZxh5IQ,Travel Droner,Travel & Events,United States,2013,52400,433,9646441,12,0.005432055,4366.666667,803870.0833,No,No,No,4.719339574967274,2.637489729512511,6.984367157416174
UC2T1Jp4mmmrmHOelavasNJg,Lantern Music,Music,United States,2016,2490,83,423091,9,0.005885259,276.6666667,47010.11111,No,No,No,3.3963737275365067,1.9242792860618816,5.626434813587729
UC2wWWk9HWcLOZ0Ys4I8n_ag,DjGoHam Gaming,Gaming,United States,2018,317000,5967,158385080,7,0.002001451,45285.71429,22626440,No,Yes,No,5.501060632229729,3.7758288144646124,8.199714271038069
UC34vLhjOu35pJwcfT92wPMw,Deník Sport,Sports,Czechia,2019,38000,2883,28687241,6,0.001324631,6333.333333,4781206.833,No,No,No,4.579795025268589,3.4599952560473914,7.457688797051962
UC3e0KfJEE6s46nn6_N-DMaQ,MD Entertainment,Entertainment,Indonesia,2013,9520000,17333,4613406043,12,0.002063551,793333.3333,384450503.6,Yes,Yes,Yes,6.97863699400364,4.2388987922278405,9.664021680254933
UC3gFS6DINL-JBj5kd6hm9Ng,Science With Tom,Science & Technology,United States,2006,31100,152,7552586,19,0.004117795,1636.842105,397504.5263,No,No,No,4.492774353255128,2.184691430817599,6.878095736712919
UC3ktVUz5EJigxNqeSJjJWtA,HowTo?,Howto & Style,Pakistan,2019,4970,156,1681945,6,0.002954912,828.3333333,280324.1667,No,No,No,3.696443763138999,2.1958996524092336,6.2258120483712345
UC3kxJQ9RfaS5CKeYbbFMi4Q,Sky Sports F1,Sports,United Kingdom,2018,882000,4291,410613746,7,0.002148004,126000,58659106.57,No,No,No,5.945469077528912,3.6326597132939136,8.613433485088889
UC3PLCyEg6eElkWF-aLDL5Rw,M4 Sport,Sports,Hungary,2015,87900,2048,59689677,10,0.001472616,8790,5968967.7,No,No,No,4.943993815824756,3.311541958401195,7.775899236067074
UC3qM33hHgedfi7qTKKgIApg,Auto Buyers Guide | Alex on Autos,Autos & Vehicles,United States,2011,1050000,2374,236699476,14,0.004436005,75000,16907105.43,No,No,No,6.021189712683533,3.3756636139608855,8.37419729833354
UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists,Film & Animation,United States,2014,13300000,580,3343958317,11,0.003977322,1209090.909,303996210.6,Yes,No,Yes,7.123851673620805,2.7641761323903307,9.524260855377202
UC3Y28kCGrJxTKza1Z3mBOkA,RYU Gaming,Gaming,Belgium,2013,22400,1231,4963047,12,0.004513356,1866.666667,413587.25,No,No,No,4.3502674060479185,3.090610707828407,6.695748475486327
UC3zIehcse5c7xRdE-baFVfw,TVB Drama – Comedy 喜劇台,Comedy,United States,2017,186000,5846,70688140,8,0.002631276,23250,8836017.5,No,Yes,No,5.269515279128209,3.766933093837284,7.849346560469364
UC40R8fSroyRd52QDEBf4Mqw,Free Films Action,Film & Animation,Germany,2008,146000,162,27026848,17,0.005402036,8588.235294,1589814.588,No,No,No,5.164355830393989,2.2121876044039577,7.431795415225831
UC-41daFrBBou8CAoaa7_6Ig,Ivory Music,Music,Philippines,2012,1290000,15084,981783310,13,0.001313936,99230.76923,75521793.08,No,Yes,Yes,6.110590046961508,4.178545314511007,8.992015645402667
UC48_JVww4eqOPmmkDni-xEA,Boxoffice | TEEN MOVIES | Films Complets,Film & Animation,France,2018,1060000,224,193327031,7,0.005482937,151428.5714,27618147.29,No,No,No,6.025306274976352,2.3521825181113627,8.286292583607617
UC4BjMIJfYABWAwcBE9-hp9A,Tony Baker,Comedy,United States,2009,317000,1821,30850323,16,0.010275419,19812.5,1928145.188,No,No,No,5.501060632229729,3.2605483726369795,7.48925972949319
UC4i_9WvfPRTuRWEaWyfKuFw,TNT Sports,Sports,United Kingdom,2013,5870000,16682,4057554762,12,0.001446684,489166.6667,338129563.5,Yes,Yes,Yes,6.76863817523304,4.222274149796562,9.608264390016005
UC4NkS_w8o50U6jw2oksEMxQ,Department for Education,Education,United Kingdom,2010,23300,582,4308311,15,0.005408152,1553.333333,287220.7333,No,No,No,4.367374559874197,2.765668554759014,6.634307146569284
UC4ns_j10J5ItewBU-Dh3TYQ,Carreras Diecast,Autos & Vehicles,United States,2013,736000,347,428243710,12,0.001718648,61333.33333,35686975.83,No,No,No,5.866878404411122,2.5415792439465807,8.631690993825401
UC4ON9AHLUa0eVk9U9_EQbUA,Prank King Entertainment,Entertainment,Bangladesh,2013,8920000,302,2181537380,12,0.00408886,743333.3333,181794781.7,Yes,No,Yes,6.950364903063843,2.481442628502305,9.33876265909361
UC4PhcooSNGfRWzrI-gVfxHw,"Department of Industry, Science and Resources",Science & Technology,Australia,2011,3980,516,715159,14,0.005565196,284.2857143,51082.78571,No,No,No,3.599992177584098,2.7134905430939424,5.854403215708048
UC4qEoWs2pzfmqoLbDyqFKew,Family Entertainment Bd,Entertainment,India,2018,4580000,370,1416184331,7,0.003234042,654285.7143,202312047.3,Yes,No,Yes,6.660865572827982,2.569373909615046,9.15111978524657
UC4ROMPgxjol5R_DQSihJ71A,Mzpanda Gaming,Gaming,United States,2018,170000,4912,61462463,7,0.002765916,24285.71429,8780351.857,No,No,No,5.230451476044183,3.691346764134822,7.788609966921876
UC4tJkIoBLrEnKjoz0pp-BGA,Australian Motorcycle News,News & Politics,Australia,2012,7670,363,2739183,13,0.002800105,590,210706.3846,No,No,No,3.8848519827459977,2.561101383649056,6.437621206222817
UC4TxgMqbSaNeWJAnp6aKbyQ,Zayed Gaming,Gaming,United Arab Emirates,2015,1230000,1326,269566340,10,0.004562884,123000,26956634,No,No,No,6.0899054645241995,3.1228709228644354,8.430665663714356
UC4x0_RNxoNkfM8WtRWPoxWw,Driving Sports TV,Sports,United States,2006,404000,953,154249469,19,0.002619134,21263.15789,8118393.105,No,No,No,5.606382440095616,2.979548374704095,8.188223680475323
UC4xyf_Z-pEQOTaRVyjXfA1g,Obsidian Entertainment,Entertainment,United States,2010,140000,396,25380126,15,0.005516127,9333.333333,1692008.4,No,No,No,5.146131137770602,2.598790506763115,7.404493790936827
UC-56XUTPCDYBf04FinP3Qvg,Australian Institute of Music,Music,Australia,2010,95300,613,32937405,15,0.002893367,6353.333333,2195827,No,No,No,4.979097457744342,2.788168371141168,7.517689393126199
UC5Hyr3HpkGRVKchtzvThAAQ,MF-MOVIES,Film & Animation,United States,2019,2060000,887,1000423372,6,0.002059128,343333.3333,166737228.7,No,No,Yes,6.3138674311916665,2.948412965778601,9.000183829646177
UC5ibXNUfOlHBobA6k-9MmhA,"WIN Education UK, USA & AUS",Education,Thailand,2013,6840,248,12643808,12,0.000540976,570,1053650.667,No,No,No,3.8351195904245494,2.3961993470957363,7.101877926674615
UC5iZg_s9-sp6M0l6NAzVOgw,Madhukar Kute Comedy,Comedy,India,2011,2240000,2022,870314830,14,0.002573781,160000,62165345,No,No,Yes,6.350248212215584,3.3059958827708047,8.939676384380169
UC5-jDNhzw1ySqP42gCv23IQ,Education Endowment Foundation,Education,United Kingdom,2014,4100,185,665636,11,0.006159523,372.7272727,60512.36364,No,No,No,3.612889769287485,2.2695129442179165,5.8232374545825785
UC5nwNW4KdC0SzrhF9BXEYOQ,TVBS NEWS,News & Politics,"Taiwan, Province of China",2006,3050000,515872,7434447479,19,0.000410252,160526.3158,391286709.4,Yes,Yes,Yes,6.4842999817383955,5.712542798162385,9.871248697766706
UC5S0zPiz9-zZJ6WTV3YfE9w,Dave Gaming,Gaming,Germany,2014,213000,6498,116429764,11,0.001829429,19363.63636,10584524,No,Yes,No,5.328381642375181,3.812846536967071,8.066064020887435
UC5tuYcCdiKuF5Y2ZonuarwA,Jkk Entertainment,Entertainment,India,2017,38500000,248,17345964324,8,0.002219536,4812500,2168245541,Yes,No,Yes,7.585460740788877,2.3961993470957363,10.239198448852896
UC5vaBYHzkZvJkjGSNrz5tWQ,SRF Sport,Sports,Switzerland,2018,163000,5500,190186401,7,0.000857054,23285.71429,27169485.86,No,Yes,No,5.21219026877911,3.740441644949766,8.279179462404352
UC5wLgaM_2UNaCKUPGOTUjaw,365 Sports,Sports,United States,2016,64100,9183,28656507,9,0.002236839,7122.222222,3184056.333,No,Yes,No,4.806864804730897,3.963031875053898,7.457223267403662
UC62GnXAfqgm8Fcn_i9kiuqw,MLD ENTERTAINMENT,Entertainment,"Korea, Republic of",2016,2260000,852,930718181,9,0.002428232,251111.1111,103413131.2,No,No,Yes,6.354108631313058,2.930949031167523,8.968818198134562
UC64A-bbH15b5kN5A32CErOA,10 News First,News & Politics,Australia,2013,1000000,14676,768361583,12,0.001301471,83333.33333,64030131.92,No,Yes,Yes,6.0000004342942646,4.166637294231805,8.885565643183561
UC65LZ_Z4taPE_keEF25o6Pw,Cinema FilmIsNow - Film Completi in Italiano,Film & Animation,Italy,2019,147000,413,26200958,6,0.005610482,24500,4366826.333,No,No,No,5.167320289122358,2.617000341120899,7.41831718753295
UC69DLFlHaVc31XGosWnzfeg,The Real Car Co,Autos & Vehicles,United Kingdom,2014,2150,295,730542,11,0.00294302,195.4545455,66412.90909,No,No,No,3.3326404103874627,2.4712917110589387,5.863645783737958
UC6FjcBcH9NVHdfFSvNfHmuA,KUY Entertainment,Entertainment,Indonesia,2016,3380000,1630,699919741,9,0.004829125,375555.5556,77768860.11,Yes,No,No,6.5289168287671275,3.212453961040276,8.845048243435894
UC6LHN4GnT2ui5wRBQanNKxQ,Semenix Gaming,Gaming,"Taiwan, Province of China",2013,464000,779,105590966,12,0.004394315,38666.66667,8799247.167,No,No,No,5.666518916533359,2.8920946026904804,8.023626767157547
UC6oSX9I4bzySbcwWjxfi2LA,Saigon Entertainment Television,Entertainment,United States,2017,415000,12971,240307044,8,0.001726957,51875,30038380.5,No,Yes,No,5.618049143203559,4.113006940000935,8.38076650305432
UC6QKwcd7tOdL_Nsbd6jKpcw,BNS ENTERTAINMENT 2,Entertainment,India,2017,2290000,513,885480145,8,0.002586168,286250,110685018.1,No,No,Yes,6.359835671988092,2.710963118995276,8.947178828000053
UC6vImVkvofpMUOlYt6LiRXA,Keystone Science,Science & Technology,United States,2011,277000,84,12503260,14,0.022154222,19785.71429,893090,No,No,No,5.442481336911734,1.9294189257142926,7.097023296976377
UC6wcJQ-4CqYz2A1B4LAwa6g,Ravacana Films,Film & Animation,Indonesia,2016,470000,122,49341214,9,0.009525505,52222.22222,5482357.111,No,No,No,5.672098781965547,2.089905111439398,7.6932098395456645
UC70nshaw8HJRu8MYQkVxJSA,Starfish Travel Co.,Travel & Events,India,2014,443000,705,25998974,11,0.017039134,40272.72727,2363543.091,No,No,No,5.646404706570681,2.8488047010518036,7.414956226408556
UC72ZaBKI-Bo5fjmWEYonhJw,TyC Sports,Sports,Argentina,2013,2950000,12980,1438329270,12,0.002050991,245833.3333,119860772.5,Yes,Yes,Yes,6.469822163196606,4.113308149918387,9.157858318737285
UC77sGzEuSXwFPcY4lMC2tew,The Silent Comedy,Comedy,United States,2007,10700,48,2830121,18,0.003780757,594.4444444,157228.9444,No,No,No,4.029424364058016,1.6901960800285136,6.451805157356364
UC7BJ0XwLt-7enyIH-ZY9Euw,Navrit Gaming,Gaming,India,2018,906000,567,170156606,7,0.005324507,129428.5714,24308086.57,No,No,No,5.957128677030282,2.754348335711019,8.23084881695186
UC7g7kvJmGit81_4R_4yxhGA,BR Kabarett & Comedy,Comedy,Germany,2019,193000,1511,120638008,6,0.001599827,32166.66667,20106334.67,No,No,No,5.2855595592324205,3.1795517911651876,8.081484161023637
UC7SAV2E5LTMc6IB0M5mkrQA,Science For Kids,Science & Technology,Australia,2014,7260,40,1343818,11,0.005402517,660,122165.2727,No,No,No,3.860996436757196,1.6127838567197355,6.1283407772038
UC7StATucOMzqrxtetjvvXEw,RC Window Films,Film & Animation,United States,2018,46700,352,63112479,7,0.000739949,6671.428571,9016068.429,No,No,No,4.669326180134252,2.5477747053878224,7.8001152460780165
UC84vVeMZLCreU9iJkZlBN5g,Tips Howto,Howto & Style,United States,2017,34200,2767,5816370,8,0.005879956,4275,727046.25,No,No,No,4.534038804539547,3.44216608578472,6.764652100415289
UC85aYbNSFjsJdxfpxgQr8tA,Judo Sloth Gaming,Gaming,United Kingdom,2014,3350000,1964,792407770,11,0.004227621,304545.4545,72037070,Yes,No,Yes,6.52504493667697,3.2933625547114453,8.898948725934998
UC8aOXvlqQqMlTFvbbAarD-A,DNVR Sports,Sports,United States,2015,123000,13956,105210574,10,0.001169084,12300,10521057.4,No,Yes,No,5.089908642274492,4.144792078497715,8.02205939412692
UC8b5bimyXos4Cvx1NWLhOBQ,R&M - Havana People,People & Blogs,Australia,2015,3910,229,729020,10,0.005363365,391,72902,No,No,No,3.5922878159521305,2.361727836017593,5.862740038678416
UC8c41GXQS7P0DGu3cJcVIPg,Ivi-Education,Education,Germany,2014,83800,270,15848164,11,0.005287679,7618.181818,1440742.182,No,No,No,4.923249201111072,2.432969290874406,7.199978984124161
UC8kDDLRZzDdOBS24al99Kag,Nonprofit Salesforce How-To-Series,Nonprofits & Activism,United States,2016,3300,80,374675,9,0.008807633,366.6666667,41630.55556,No,No,No,3.5186455243303114,1.9084850188786497,5.573655875102378
UC8Lg5y3YmAcVbkkuA0meA3w,WFXR NEWS,News & Politics,United States,2016,23400,15631,13055354,9,0.001792368,2600,1450594.889,No,Yes,No,4.369234416606825,4.194014546374698,7.11578868561472
UC8mtRuNhwBT2_S0qC5ECVyA,Gratienza Entertainment,Entertainment,Philippines,2018,2470000,706,590004280,7,0.00418641,352857.1429,84286325.71,Yes,No,No,6.392697129087356,2.8494194137968996,8.770855162842029
UC8pWXwIAo5aTRXzecDcW0bA,Transport News Melbourne,News & Politics,Australia,2016,1050,185,548353,9,0.001914825,116.6666667,60928.11111,No,No,No,3.021602716028242,2.2695129442179165,5.739061015803696
UC8VyjeNlE1QbyQ7WWyUevHw,Pevan & Sarah Music,Music,Australia,2014,37900,68,11668812,11,0.003247974,3445.454545,1060801.091,No,No,No,4.578650668774207,1.8388490907372552,7.067026680058317
UC8WYi3XQXsf-6FNvqoEvxag,RTL Sport,Sports,Germany,2015,253000,3472,275802711,10,0.000917322,25300,27580271.1,No,No,No,5.403122237751405,3.5407047833107623,8.440598532328751
UC94wFyzOpaxrwtkoRe1FVfw,Quatsch Comedy Club,Comedy,Germany,2016,79000,1166,65625872,9,0.001203794,4388.888889,3645881.778,No,No,No,9.193216180568596,5.532825694224799,15.032090209373576
UC97SmvuJjwphUMETGOtnq-Q,"Department for Education, South Australia",Education,Australia,2011,4990,1000,753754,14,0.006620197,356.4285714,53839.57143,No,No,No,3.698187569866122,3.000434077479319,5.877230206030738
UC97XthQ7oIOfAWIGPoyFDYQ,Legends of Gaming NL,Gaming,Netherlands,2015,537000,820,197051336,10,0.002725178,53700,19705133.6,No,No,No,5.729975094440855,2.9143431571194407,8.294579385914398
UC9EGWB5qYcA45to9pqP2GhA,Kevin Sullivan Music,Music,Australia,2018,382,16,75781,7,0.005040841,54.57142857,10825.85714,No,No,No,2.583198773968623,1.2304489213782739,4.8795660627693
UC9PD3EIAA-vtGLZgYXG3q0A,Frostbite Gaming,Gaming,India,2014,5410000,3090,3667770289,11,0.001475011,491818.1818,333433662.6,Yes,No,Yes,6.7331973453828065,3.4900990050633047,9.564402128276779
UC9pkqFpbiwpZ6vXwaaUV_FQ,Chat Sports,Sports,United States,2014,408000,11321,133815649,11,0.003048971,37090.90909,12165059,No,Yes,No,5.610661227535835,4.053923150548575,8.126506907984735
UC9QZZRUajPEoo1Q-V3MfvnQ,TV 2 Sport,Sports,Norway,2009,50200,2143,26020393,16,0.001929256,3137.5,1626274.563,No,No,No,4.7007123683433525,3.3312247810207323,7.415313868348949
UC9t9YLscAVJe6xVtZlE-Ktg,Oklahoma State Department of Education,Education,United States,2015,7340,2114,1370974,10,0.005353858,367,68548.7,No,No,No,7.129568769007974,6.048971335398334,11.671999713059527
UC9trkn8YC1kNc0K5v9vPOkg,Sciences physiques à Stella,Science & Technology,France,2015,53400,74,5853783,10,0.009122306,5340,585378.3,No,No,No,4.727549389807874,1.8750612633917,6.767436693270513
UC9uD-W5zQHQuAVT2GdcLCvg,Insider Science,Science & Technology,United States,2015,3030000,649,883852751,10,0.003428173,303000,88385275.1,Yes,No,Yes,6.481442771833794,2.8129133566428557,8.946379918496717
UC9xeuekJd88ku9LDcmGdUOA,Kplus Sports,Sports,Viet Nam,2019,3180000,15510,2973215804,6,0.001069549,530000,495535967.3,Yes,Yes,Yes,6.502427256555003,4.1906397978446845,9.473226432756649
UC9YfeKWoDustUaOHiJUYN7g,Webby On Cars,Autos & Vehicles,Australia,2013,14000,232,3088328,12,0.004533197,1166.666667,257360.6667,No,No,No,4.1461590556048185,2.367355921026019,6.489723559563184
UCA_kqRHsoKxPZ22PPkaGwjA,SpanglerScienceTV,Science & Technology,United States,2010,202000,492,51721924,15,0.0039055,13466.66667,3448128.267,No,No,No,5.305353519413985,2.69284691927723,7.713674680193661
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,Entertainment,Viet Nam,2015,5850000,8716,3505433032,10,0.001668838,585000,350543303.2,Yes,Yes,Yes,6.7671559403205475,3.9403670459856652,9.544741674863578
UCAbIRO36kT5DMH_6oPnZAMA,Travel with Rehan,Travel & Events,Australia,2008,4100,150,372390,17,0.011009963,241.1764706,21905.29412,No,No,No,3.612889769287485,2.1789769472931693,5.57099917634376
UCaCE5pzy49M8nQ59plgmFOA,Relax Cafe Music,Music,United States,2013,881000,960,358250684,12,0.002459172,73416.66667,29854223.67,No,No,No,5.944976401368047,2.9827233876685453,8.554187029471157
UCadhU_V17tZia6mvQSYn-tg,Umbrella Entertainment,Entertainment,Australia,2011,156000,1715,129823149,14,0.001201635,11142.85714,9273082.071,No,No,No,5.193127382284525,3.2345172835126865,8.11335214254754
UCafbHTz3mNncAxnIbTabwAQ,Cover-More Travel Insurance,Travel & Events,Australia,2011,4230,221,4960273,14,0.000852776,302.1428571,354305.2143,No,No,No,3.6264430253312945,2.346352974450639,6.69550566709531
UCAL7BWFwQKe581Womxa0ieg,IT'S TRAVEL TIME!,Travel & Events,Thailand,2018,1290,16,38294,7,0.033686739,184.2857143,5470.571429,No,No,No,3.1109262422664203,1.2304489213782739,4.583142073859932
UCALeHfwxZslowXw-ug7tT7g,Comedy Captain,Comedy,India,2016,14500000,3355,2432939445,9,0.005959869,1611111.111,270326605,Yes,No,Yes,7.161368032186317,3.5258219521566625,9.386131299808202
UCalwFtq-BVcszKLZ5k2vbLw,TVP Sport,Sports,Poland,2011,751000,7771,624945040,14,0.001201706,53642.85714,44638931.43,No,Yes,No,5.875640515292042,3.890532791927745,8.795841826240204
UCaM5FPAmTIl3fQF77t96mBA,Dave Do Travel,Travel & Events,Australia,2010,4900,133,707006,15,0.006930634,326.6666667,47133.73333,No,No,No,3.6902847025126295,2.1271047983648077,5.849423713720978
